task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,ram_total_size,tracking_mode,on_cloud
Steps #1-1,2026-04-06T18:56:48,distilbert,4672a33e-ac70-43c1-ac2c-3608ed395be8,0.7811819575726986,4.805964990636882e-07,6.155067746996543e-07,360.0,194.9368771561306,10.0,7.778116390109062e-05,4.2119200365675624e-05,2.160383574664593e-06,0.00012206074784143084,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,4,machine,N
Steps #2-2,2026-04-06T18:56:49,distilbert,4672a33e-ac70-43c1-ac2c-3608ed395be8,0.6412191614508629,4.0801186808130194e-07,6.370834412757117e-07,360.0,212.2599037119116,10.0,6.406919620931149e-05,3.777725244447083e-05,1.7794284452166825e-06,0.000103625877098999,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,4,machine,N
Steps #3-3,2026-04-06T18:56:49,distilbert,4672a33e-ac70-43c1-ac2c-3608ed395be8,0.6525036040693521,4.358456734893191e-07,6.687087928467541e-07,360.0,242.0760910538661,10.0,6.51061015203595e-05,4.378059058041117e-05,1.8083482359846435e-06,0.00011069504033675535,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,4,machine,N
Steps #4-4,2026-04-06T18:56:50,distilbert,4672a33e-ac70-43c1-ac2c-3608ed395be8,0.645512018352747,4.0911575033090527e-07,6.34395748644545e-07,360.0,210.0448087465422,10.0,6.448769662529229e-05,3.7627530105055484e-05,1.7910117386943768e-06,0.00010390623846904217,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,4,machine,N
Steps #5-5,2026-04-06T18:56:50,distilbert,4672a33e-ac70-43c1-ac2c-3608ed395be8,0.647591644898057,4.3657819104871113e-07,6.749340622181868e-07,360.0,251.1504517658197,10.0,6.426280364394191e-05,4.483336920202419e-05,1.7849105462017992e-06,0.00011088108339216786,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,4,machine,N
Steps #6-6,2026-04-06T18:56:51,distilbert,4672a33e-ac70-43c1-ac2c-3608ed395be8,0.6560866255313158,4.101173064547991e-07,6.256014407689572e-07,360.0,205.78062381342824,10.0,6.512453705072405e-05,3.7227252001059696e-05,1.8088222429570222e-06,0.0001041606112947408,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,4,machine,N
Steps #7-7,2026-04-06T18:56:52,distilbert,4672a33e-ac70-43c1-ac2c-3608ed395be8,0.6462860722094774,4.361711378128208e-07,6.753591238037429e-07,360.0,247.31628927060996,10.0,6.46016579121351e-05,4.438170216758408e-05,1.7943409064577686e-06,0.00011077770098617693,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,4,machine,N
Steps #8-8,2026-04-06T18:56:52,distilbert,4672a33e-ac70-43c1-ac2c-3608ed395be8,0.6492462325841188,4.093674309595063e-07,6.313094811196611e-07,360.0,211.71412028841033,10.0,6.434255223721267e-05,3.784058583278238e-05,1.7870216423438653e-06,0.00010397015971233894,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,4,machine,N
Steps #9-9,2026-04-06T18:56:53,distilbert,4672a33e-ac70-43c1-ac2c-3608ed395be8,0.657207015901804,4.3554623622596754e-07,6.634697783761413e-07,360.0,239.9888069186353,10.0,6.528399400413038e-05,4.352170147825518e-05,1.8132944953524404e-06,0.00011061898997773807,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,4,machine,N
Steps #10-10,2026-04-06T18:56:54,distilbert,4672a33e-ac70-43c1-ac2c-3608ed395be8,0.6475554462522268,4.093135272009883e-07,6.325535216185572e-07,360.0,208.20041458240283,10.0,6.47250592708588e-05,3.7433641061568323e-05,1.7977690324187293e-06,0.0001039564693648457,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,4,machine,N
