task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,ram_total_size,tracking_mode,on_cloud
Steps #1-1,2026-04-06T19:11:18,distilbert,2b297142-9767-4c4c-bc92-e9780848a25d,0.7854931931942701,4.85193317745617e-07,6.178304816035771e-07,360.0,195.49668332818544,10.0,7.844723761081696e-05,4.260225630758896e-05,2.1787429228425026e-06,0.0001232282368412484,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,4,machine,N
Steps #2-2,2026-04-06T19:11:18,distilbert,2b297142-9767-4c4c-bc92-e9780848a25d,0.6456314697861671,4.043074907864752e-07,6.267850401905674e-07,360.0,203.5809758091734,10.0,6.444780193269252e-05,3.644725138229887e-05,1.7899949103593827e-06,0.00010268504822535078,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,4,machine,N
Steps #3-3,2026-04-06T19:11:19,distilbert,2b297142-9767-4c4c-bc92-e9780848a25d,0.6439126394689083,4.3695522087996536e-07,6.789630502570653e-07,360.0,250.43981362137086,10.0,6.439191084355118e-05,4.479642471721945e-05,1.7885049649824698e-06,0.0001109768405257531,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,4,machine,N
Steps #4-4,2026-04-06T19:11:20,distilbert,2b297142-9767-4c4c-bc92-e9780848a25d,0.650695288553834,4.0796205792949865e-07,6.273633388626419e-07,360.0,205.99964921457925,10.0,6.47578513249755e-05,3.705669632125819e-05,1.7986787897017264e-06,0.00010361322643593539,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,4,machine,N
Steps #5-5,2026-04-06T19:11:20,distilbert,2b297142-9767-4c4c-bc92-e9780848a25d,0.6436248570680618,4.3594468575992167e-07,6.778092829961193e-07,360.0,249.69188542132986,10.0,6.4320588670671e-05,4.461309124081936e-05,1.7865073246260485e-06,0.00011072018723611639,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,4,machine,N
Steps #6-6,2026-04-06T19:11:21,distilbert,2b297142-9767-4c4c-bc92-e9780848a25d,0.6432318277657032,4.0820580878817185e-07,6.350756565271716e-07,360.0,210.97735765666945,10.0,6.424134131520986e-05,3.764947456375012e-05,1.7843178162972123e-06,0.00010367513369525713,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,4,machine,N
Steps #7-7,2026-04-06T19:11:22,distilbert,2b297142-9767-4c4c-bc92-e9780848a25d,0.6473477184772491,4.3557814569989055e-07,6.736516247718442e-07,360.0,248.11348607238386,10.0,6.443064659833909e-05,4.4406979966993276e-05,1.7894677041719351e-06,0.00011062709426950428,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,4,machine,N
Steps #8-8,2026-04-06T19:11:22,distilbert,2b297142-9767-4c4c-bc92-e9780848a25d,0.6424491349607706,4.0952732518830683e-07,6.380474486475862e-07,360.0,213.02704206719662,10.0,6.422277186065916e-05,3.800419707289393e-05,1.783800332082643e-06,0.00010401076926563565,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,4,machine,N
Steps #9-9,2026-04-06T19:11:23,distilbert,2b297142-9767-4c4c-bc92-e9780848a25d,0.6443574205040932,4.3477644456175707e-07,6.752869934479501e-07,360.0,247.39973616610683,10.0,6.438608169555661e-05,4.424920206247407e-05,1.7881963764213858e-06,0.00011042348013445217,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,4,machine,N
Steps #10-10,2026-04-06T19:11:23,distilbert,2b297142-9767-4c4c-bc92-e9780848a25d,0.6447570733726025,4.135925257100724e-07,6.418320078011425e-07,360.0,212.09048851035482,10.0,6.496462915092703e-05,3.827419728708037e-05,1.80441272031102e-06,0.00010504323915831856,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,4,machine,N
Steps #11-11,2026-04-06T19:11:24,distilbert,2b297142-9767-4c4c-bc92-e9780848a25d,0.6531751919537783,4.356619454225028e-07,6.673912600199888e-07,360.0,243.15474143996641,10.0,6.496422011405235e-05,4.3879757328113556e-05,1.8044000801940768e-06,0.00011064837752235981,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,4,machine,N
Steps #12-12,2026-04-06T19:11:25,distilbert,2b297142-9767-4c4c-bc92-e9780848a25d,0.641710652038455,4.1067494888074773e-07,6.403334894329134e-07,360.0,214.89854328398044,10.0,6.419661492109297e-05,3.8322530656387244e-05,1.7830944050931277e-06,0.00010430223998257344,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,4,machine,N
Steps #13-13,2026-04-06T19:11:25,distilbert,2b297142-9767-4c4c-bc92-e9780848a25d,0.6455984003841877,4.3648747413754635e-07,6.765736832001233e-07,360.0,248.77816315036293,10.0,6.449578180909156e-05,4.457086899378737e-05,1.7913925254510503e-06,0.00011085804332833,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,4,machine,N
