run_num,model,batch_size,step,step_end_time_s,loss,step_time_ns,forward_time_ns,backward_time_ns,optimizer_time_ns
3,DistilBert,64,65,42.436119676,0.009642302989959717,656897943,231821436,413074866,11646304
3,DistilBert,64,66,43.08792943,0.009371699765324593,651370696,228169682,410446360,12303386
3,DistilBert,64,67,43.738253478,0.009204545989632607,649639376,230327481,407196823,11761516
3,DistilBert,64,68,44.395300644,0.009149489924311638,656609578,231642554,412944884,11739836
3,DistilBert,64,69,45.046277964,0.009044037200510502,650558243,227964559,410515791,11801867
3,DistilBert,64,70,45.697268313,0.008837318047881126,650554932,230710746,407719332,11830937
3,DistilBert,64,71,46.355885826,0.00865820050239563,658202976,232327235,413871910,11725006
3,DistilBert,64,72,47.010771024,0.008407725021243095,654438830,230216299,412187740,11707635
3,DistilBert,64,73,47.663974913,0.008394511416554451,652756171,231226216,409543634,11705765
3,DistilBert,64,74,48.312849745,0.008230805397033691,648359853,231148715,405141427,11792717
3,DistilBert,64,75,48.964399654,0.008130135014653206,651056270,228076470,410935638,11766877
3,DistilBert,64,76,49.617383208,0.007976233959197998,652540166,231243756,409278468,11734026
3,DistilBert,64,77,50.272822626,0.007907846011221409,655000570,231302767,411526240,11853778
3,DistilBert,64,78,50.927719334,0.0077546145766973495,654382189,230931700,411399137,11769467
3,DistilBert,64,79,51.579568368,0.007734356448054314,651433627,230548014,408853871,11760656
3,DistilBert,64,80,52.230137291,0.007702017202973366,650162265,232353806,405750217,11768206
3,DistilBert,64,81,52.884610241,0.007497282698750496,654049243,229627418,412353383,11790417
3,DistilBert,64,82,53.536574078,0.007470848970115185,651530809,230644506,408784831,11816657
3,DistilBert,64,83,54.193605553,0.007374674081802368,656592437,231895348,412377633,11979460
3,DistilBert,64,84,54.850073119,0.007237169425934553,655910066,232674381,411196693,11747707
3,DistilBert,64,85,55.504068851,0.007168181240558624,653557064,230768438,410752545,11751266
3,DistilBert,64,86,56.150700274,0.00711659574881196,646229646,231216806,402706554,12025451
3,DistilBert,64,87,56.802868635,0.006992857437580824,651763813,228560979,411177783,11752577
3,DistilBert,64,88,57.455235579,0.006954750511795282,651946687,231657963,408331572,11683305
3,DistilBert,64,89,58.110522703,0.00692811468616128,654854227,232581389,410238906,11756046
3,DistilBert,64,90,58.763314614,0.006791445426642895,652350933,228926936,411120422,11903009
3,DistilBert,64,91,59.417227225,0.006756945047527552,653236949,231938739,409301390,11698215
3,DistilBert,64,92,60.072888127,0.006804780103266239,655208624,232721012,410480361,11733035
3,DistilBert,64,93,60.731892627,0.006727756001055241,658575423,232519399,414022363,11665835
3,DistilBert,64,94,61.389671316,0.0066215661354362965,657380222,232927845,412454835,11725396
3,DistilBert,64,95,62.04835878,0.006625855807214975,658258747,230760067,415379626,11819748
3,DistilBert,64,96,62.698476034,0.0064670853316783905,649666146,230925701,406732095,11694506
3,DistilBert,64,97,63.361390183,0.006413710303604603,662472731,232163313,418030953,11947360
3,DistilBert,64,98,64.014878136,0.006467687897384167,652992915,230991762,409982491,11733506
3,DistilBert,64,99,64.668073384,0.006363347172737122,652733020,232385786,408419815,11639254
3,DistilBert,64,100,65.328192604,0.006248118355870247,659645332,231539832,416064009,11771487
3,DistilBert,64,101,65.985739488,0.0062825302593410015,657122736,232346655,412666639,11822027
3,DistilBert,64,102,66.64485251,0.006207250989973545,658656864,231920428,414622643,11820617
3,DistilBert,64,103,67.301173254,0.006183657795190811,655858885,232170773,411580149,11808287
3,DistilBert,64,104,67.954969642,0.006197811104357243,653341090,232032281,409063906,11929179
3,DistilBert,64,105,68.607100822,0.0060746921226382256,651620831,233601198,405905600,11823048
3,DistilBert,64,106,69.261005013,0.006054488476365805,653456923,229548067,411788774,11813468
3,DistilBert,64,107,69.914952204,0.005957943852990866,653465493,232521528,408828191,11826228
3,DistilBert,64,108,70.566455862,0.005903639364987612,651059000,233168180,405832649,11763336
3,DistilBert,64,109,71.220689579,0.005912138614803553,653790789,229577697,412138350,11697454
3,DistilBert,64,110,71.873606283,0.005760945845395327,652488077,231945759,408390954,11859338
3,DistilBert,64,111,72.530216301,0.005693856626749039,656163421,233050288,410629154,12131023
3,DistilBert,64,112,73.188492208,0.005742042325437069,657669227,230930381,414582943,11847798
3,DistilBert,64,113,73.849105526,0.005652282387018204,660168081,233262272,414835877,11770926
3,DistilBert,64,114,74.507271651,0.0056935325264930725,657701367,232732002,412853332,11818877
3,DistilBert,64,115,75.159667406,0.005621937569230795,651935816,233331504,406465750,11845427
3,DistilBert,64,116,75.823101664,0.005577571224421263,662972970,231841048,419007190,11807667
3,DistilBert,64,117,76.479291074,0.005370710510760546,655734393,231742165,411868285,11828937
3,DistilBert,64,118,77.133298247,0.005465253256261349,653554815,231104354,410312078,11814617
3,DistilBert,64,119,77.788896708,0.005389552563428879,655165453,232966817,410041583,11848168
3,DistilBert,64,120,78.446989701,0.005408904515206814,657619875,232402886,412509977,12259335
3,DistilBert,64,121,79.105371941,0.005352633073925972,657659287,232674812,412753970,11835968
3,DistilBert,64,122,79.761703614,0.00528198666870594,655892516,231403730,412364263,11807958
3,DistilBert,64,123,80.416552411,0.005337302573025227,654403319,231871288,410419029,11809637
3,DistilBert,64,124,81.066114296,0.0052522337064146996,649090646,231912018,405077947,11802268
3,DistilBert,64,125,81.721121665,0.005182556342333555,654550021,229775981,412662809,11808637
3,DistilBert,64,126,82.376661645,0.005180640146136284,655081222,231902268,411037180,11832477
3,DistilBert,64,127,83.025560438,0.005156626924872398,648478976,232243374,404225581,11727835
3,DistilBert,64,128,83.680163441,0.005004219710826874,654162586,230061926,412014328,11803216
3,DistilBert,64,129,84.335380325,0.005056105554103851,654762586,232156802,410482441,11749106
3,DistilBert,64,130,84.984663514,0.005033133551478386,648875242,231742015,404989564,11839638
3,DistilBert,64,131,85.639563772,0.004993111826479435,654405799,229674909,412681189,11760577
3,DistilBert,64,132,86.295646761,0.004882104694843292,655533449,231707315,411724822,11796957
3,DistilBert,64,133,86.944577975,0.004889934789389372,648437425,232100162,404243280,11803817
3,DistilBert,64,134,87.59929681,0.004756506998091936,654293088,229802561,412447415,11744156
3,DistilBert,64,135,88.256076601,0.004793420433998108,656296863,232271174,411880135,11805257
3,DistilBert,64,136,88.904645497,0.004800295457243919,648106938,231772025,404280102,11736116
3,DistilBert,64,137,89.560135296,0.004706142470240593,655008260,230656236,412307562,11749826
3,DistilBert,64,138,90.21594702,0.004704305436462164,655370646,231920639,411393607,11771716
3,DistilBert,64,139,90.864915294,0.004646162036806345,648524736,231863677,404459024,11886709
3,DistilBert,64,140,91.523038869,0.004615684039890766,657627576,231078073,414509271,11755367
3,DistilBert,64,141,92.182569148,0.004623403772711754,659081771,232963136,414068994,11753405
3,DistilBert,64,142,92.841307684,0.004467490129172802,658328609,233300703,412963394,11747176
3,DistilBert,64,143,93.493533335,0.004539950285106897,651797204,232035181,407691982,11784377
3,DistilBert,64,144,94.157609194,0.004431083332747221,663650362,232319116,419326386,11721686
3,DistilBert,64,145,94.814465287,0.004389572888612747,656422155,231677944,412649819,11786446
3,DistilBert,64,146,95.46911823,0.004411838948726654,654246836,231153425,411088031,11728226
3,DistilBert,64,147,96.124713991,0.004335571546107531,655142193,232897365,410210685,11745806
3,DistilBert,64,148,96.782035911,0.004311813972890377,656864222,233081508,411405597,12024081
3,DistilBert,64,149,97.441395467,0.004279009997844696,658783326,233374274,413388582,11711145
3,DistilBert,64,150,98.101517788,0.004224404226988554,659693833,232860235,414835697,11719225
3,DistilBert,64,151,98.761070057,0.0042119333520531654,659139062,233130520,413974592,11740336
3,DistilBert,64,152,99.419880634,0.004174290224909782,658372649,233095910,413264389,11732246
3,DistilBert,64,153,100.073798735,0.004149657674133778,653474803,233778901,407619941,11796787
