run_num,model,batch_size,timestamp_ns,time_since_start_s,step,state,process_cpu_percent,process_memory_rss_bytes,gpu_util_pct,gpu_mem_used_mb
1,DistilBert,64,11425475014176878,0.501122153,1,backward,101.4,1290526720,99,22391.25
1,DistilBert,64,11425475515761359,1.002706634,2,forward,99.7,1384669184,83,22393.25
1,DistilBert,64,11425476017310490,1.504255765,3,forward,99.7,1385639936,99,26209.25
1,DistilBert,64,11425476518666097,2.005611372,3,backward,99.7,1385639936,100,26209.25
1,DistilBert,64,11425477019991774,2.506937049,4,backward,101.7,1385664512,100,26209.25
1,DistilBert,64,11425477521443693,3.008388968,5,backward,99.7,1385906176,99,26209.25
1,DistilBert,64,11425478022935492,3.509880767,6,forward,99.8,1385938944,98,26209.25
1,DistilBert,64,11425478524078166,4.011023441,6,backward,101.8,1385959424,100,26209.25
1,DistilBert,64,11425479025182539,4.512127814,7,backward,99.8,1385967616,100,26209.25
1,DistilBert,64,11425479526278112,5.013223387,8,backward,99.8,1385979904,99,26209.25
1,DistilBert,64,11425480027502337,5.514447612,9,forward,101.8,1385979904,99,26209.25
1,DistilBert,64,11425480528552509,6.015497784,10,forward,99.8,1385979904,100,26209.25
1,DistilBert,64,11425481029556679,6.516501954,10,backward,99.8,1385979904,100,26209.25
1,DistilBert,64,11425481530621932,7.017567207,11,backward,99.8,1385988096,100,26209.25
1,DistilBert,64,11425482031727724,7.518672999,12,backward,99.8,1385992192,100,26209.25
1,DistilBert,64,11425482532803327,8.019748602,13,forward,101.7,1385992192,100,26209.25
1,DistilBert,64,11425483034381068,8.521326343,13,backward,99.7,1385992192,100,26209.25
1,DistilBert,64,11425483535911328,9.022856603,14,backward,101.7,1385996288,100,26209.25
1,DistilBert,64,11425484037600381,9.524545656,15,backward,99.7,1385996288,100,26209.25
1,DistilBert,64,11425484539214583,10.026159858,16,forward,99.7,1385996288,99,26209.25
1,DistilBert,64,11425485040774004,10.527719279,17,forward,99.8,1386000384,100,26209.25
1,DistilBert,64,11425485541947348,11.028892623,17,backward,99.8,1386008576,100,26209.25
1,DistilBert,64,11425486043162723,11.530107998,18,backward,101.8,1386008576,100,26209.25
1,DistilBert,64,11425486544260336,12.031205611,19,forward,99.8,1386008576,99,26209.25
1,DistilBert,64,11425487045379819,12.532325094,20,forward,99.8,1386008576,100,26209.25
1,DistilBert,64,11425487546497052,13.033442327,20,backward,99.8,1386008576,100,26209.25
1,DistilBert,64,11425488047729377,13.534674652,21,backward,101.8,1386024960,100,26209.25
1,DistilBert,64,11425488548767379,14.035712654,22,backward,99.8,1386029056,99,26209.25
1,DistilBert,64,11425489049815571,14.536760846,23,forward,101.8,1386045440,99,26209.25
1,DistilBert,64,11425489550898633,15.037843908,23,backward,99.7,1386045440,100,26209.25
1,DistilBert,64,11425490052380483,15.539325758,24,backward,101.7,1386045440,100,26209.25
1,DistilBert,64,11425490553982944,16.040928219,25,backward,99.7,1386045440,99,26209.25
1,DistilBert,64,11425491055420813,16.542366088,26,forward,99.7,1386045440,99,26209.25
1,DistilBert,64,11425491556879222,17.043824497,26,optimizer,99.7,1386045440,100,26209.25
1,DistilBert,64,11425492058420182,17.545365457,27,backward,99.8,1386045440,100,26209.25
1,DistilBert,64,11425492559461234,18.046406509,28,backward,101.8,1386045440,99,26209.25
1,DistilBert,64,11425493060550787,18.547496062,29,forward,99.8,1386045440,98,26209.25
1,DistilBert,64,11425493561635159,19.048580434,30,forward,99.8,1386061824,100,26209.25
1,DistilBert,64,11425494062666241,19.549611516,30,backward,99.8,1386061824,100,26209.25
1,DistilBert,64,11425494563682143,20.050627418,31,backward,101.8,1386078208,100,26209.25
1,DistilBert,64,11425495064705934,20.551651209,32,forward,99.7,1386078208,99,26209.25
1,DistilBert,64,11425495566012360,21.052957635,33,forward,99.8,1386078208,100,26209.25
1,DistilBert,64,11425496067107043,21.554052318,33,backward,99.8,1386078208,100,26209.25
1,DistilBert,64,11425496568395179,22.055340454,34,backward,99.7,1386078208,100,26209.25
1,DistilBert,64,11425497069744856,22.556690131,35,backward,101.7,1386078208,99,26209.25
1,DistilBert,64,11425497571380548,23.058325823,36,forward,99.7,1386078208,100,26209.25
1,DistilBert,64,11425498072855288,23.559800563,36,backward,99.7,1386078208,100,26209.25
1,DistilBert,64,11425498574427329,24.061372604,37,backward,99.7,1386078208,100,26209.25
1,DistilBert,64,11425499075894598,24.562839873,38,backward,101.7,1386078208,100,26209.25
1,DistilBert,64,11425499577329237,25.064274512,39,forward,99.8,1386078208,100,26209.25
1,DistilBert,64,11425500078385988,25.565331263,40,forward,101.8,1386078208,100,26209.25
1,DistilBert,64,11425500579519612,26.066464887,40,backward,99.8,1386078208,100,26209.25
1,DistilBert,64,11425501080552953,26.567498228,41,backward,99.5,1386078208,100,26209.25
