run_num,model,batch_size,step,step_end_time_s,loss,step_time_ns,forward_time_ns,backward_time_ns,optimizer_time_ns
1,DistilBert,32,1,0.46108821,10.48458480834961,460297406,199483123,227583979,33063252
1,DistilBert,32,2,0.788033349,9.916074752807617,326235887,104838714,209249882,11821235
1,DistilBert,32,3,1.118751072,8.694461822509766,330197385,106790099,211191325,11834084
1,DistilBert,32,4,1.444611592,8.8593168258667,325352291,106262800,206940362,11878595
1,DistilBert,32,5,1.77090546,8.54509162902832,325859460,105727840,207983940,11887346
1,DistilBert,32,6,2.102405657,8.298198699951172,331112000,106930681,211892597,11976267
1,DistilBert,32,7,2.428384129,8.170364379882812,325492824,105880903,207540952,11820835
1,DistilBert,32,8,2.757256331,7.3120598793029785,328483565,106785909,209532086,11878036
1,DistilBert,32,9,3.084103738,6.841696739196777,326368479,106517824,207724615,11871066
1,DistilBert,32,10,3.41177919,6.148429870605469,327292495,106285329,208720792,11992458
1,DistilBert,32,11,3.7411559,5.643638610839844,328930813,107393708,209497087,11775164
1,DistilBert,32,12,4.067445637,5.148467063903809,325893170,105550767,208217394,11856885
1,DistilBert,32,13,4.397655362,4.966241359710693,329822768,107061583,210079526,12279483
1,DistilBert,32,14,4.724970187,4.130438327789307,326788705,106038885,208574670,11834725
1,DistilBert,32,15,5.053404432,3.4270167350769043,328034318,106711277,209227371,11829335
1,DistilBert,32,16,5.381818386,2.9844436645507812,328006257,106939161,208730842,12049339
1,DistilBert,32,17,5.708968098,2.537914991378784,326696864,105894813,208681952,11855795
1,DistilBert,32,18,6.040068399,2.090350389480591,330647863,107400139,211145235,11842716
1,DistilBert,32,19,6.368072815,1.6626472473144531,327594729,105852752,209396135,12051118
1,DistilBert,32,20,6.699796377,1.3063238859176636,331206963,107835886,211298787,11804684
1,DistilBert,32,21,7.024608148,1.0256673097610474,324434345,105757330,206596035,11819734
1,DistilBert,32,22,7.361475629,0.788316547870636,336486004,106984512,217233189,11967007
1,DistilBert,32,23,7.689071519,0.5998103022575378,327136182,106248708,208775023,11848995
1,DistilBert,32,24,8.02020965,0.4514910578727722,330760614,107469640,211155505,11876116
1,DistilBert,32,25,8.347677867,0.33464759588241577,327082231,105885303,209133820,11804404
