run_num,model,batch_size,step,step_end_time_s,loss,step_time_ns,forward_time_ns,backward_time_ns,optimizer_time_ns
3,DistilBert,32,1,0.455072753,10.48458480834961,454456762,192084929,229713070,32525441
3,DistilBert,32,2,0.790197982,9.916074752807617,334580709,105020602,217359032,11849439
3,DistilBert,32,3,1.12075592,8.694461822509766,329958428,107040958,210833339,11826077
3,DistilBert,32,4,1.447319439,8.859315872192383,326133591,105476690,208372645,11982730
3,DistilBert,32,5,1.775830791,8.54509162902832,328070104,107010887,209109969,11687715
3,DistilBert,32,6,2.103059532,8.298198699951172,326860864,106527969,208213752,11855068
3,DistilBert,32,7,2.427466562,8.170364379882812,324007543,106059200,205684328,11918679
3,DistilBert,32,8,2.763869313,7.312058925628662,335885532,107175320,216598129,11815977
3,DistilBert,32,9,3.091856977,6.841696739196777,327611597,105968629,209413193,11956070
3,DistilBert,32,10,3.421873706,6.148428916931152,329593802,107444074,210141916,11750457
3,DistilBert,32,11,3.748909913,5.643637657165527,326614140,105640133,208792213,11891778
3,DistilBert,32,12,4.080458899,5.148467063903809,331089208,108059616,211029912,11730715
3,DistilBert,32,13,4.407934993,4.966241359710693,327126868,105882478,209142979,11845207
3,DistilBert,32,14,4.739713263,4.130438804626465,331419793,107347933,212028959,11770087
3,DistilBert,32,15,5.067362811,3.427016258239746,327283831,106203903,209083617,11745676
3,DistilBert,32,16,5.398976038,2.984442949295044,331253471,107616387,211715234,11672125
3,DistilBert,32,17,5.727512471,2.537914276123047,328172306,106157632,209966134,11800637
3,DistilBert,32,18,6.059907582,2.0903501510620117,332011474,107892483,212108531,11743346
3,DistilBert,32,19,6.388478206,1.6626471281051636,328203878,106200502,210008634,11750557
3,DistilBert,32,20,6.720846296,1.306323528289795,331993124,108111696,211646943,11936540
3,DistilBert,32,21,7.04545909,1.0256670713424683,324166506,106313985,205761809,11804747
3,DistilBert,32,22,7.380676181,0.7883162498474121,334867555,107167000,215715214,11735087
3,DistilBert,32,23,7.707407522,0.5998101234436035,326359285,105441559,208808103,11815727
3,DistilBert,32,24,8.032458874,0.4514908492565155,324649175,107131470,205497835,11760117
3,DistilBert,32,25,8.360975987,0.3346474766731262,328152597,107016217,209115888,11768286
3,DistilBert,32,26,8.688851928,0.25093626976013184,327492285,106205843,208979566,11921809
3,DistilBert,32,27,9.019358596,0.18448221683502197,330000229,107822391,210188147,11714535
3,DistilBert,32,28,9.346623497,0.13728147745132446,326902515,105922059,208967196,11759127
3,DistilBert,32,29,9.677675324,0.1045122966170311,330671760,107234141,211386929,11783467
3,DistilBert,32,30,10.005642137,0.07906791567802429,327545685,106049300,209363852,11848727
3,DistilBert,32,31,10.33700678,0.061550453305244446,330976356,107388374,211541801,11794017
3,DistilBert,32,32,10.664591456,0.04854073375463486,327184689,106319895,208723992,11840448
3,DistilBert,32,33,10.996213484,0.040042050182819366,331193650,107920223,211299047,11720455
3,DistilBert,32,34,11.323897462,0.03264768049120903,327317622,106262144,208996946,11794577
3,DistilBert,32,35,11.65385912,0.027912870049476624,329570481,107410204,209934823,11901689
3,DistilBert,32,36,11.981856804,0.023784156888723373,327507625,106830044,208644320,11781767
3,DistilBert,32,37,12.310675291,0.020615724846720695,328448861,106814954,209624347,11743746
3,DistilBert,32,38,12.640202832,0.018362555652856827,329143414,107343454,209727278,11796837
3,DistilBert,32,39,12.969188883,0.01603156328201294,328614134,106704052,209612257,11928930
3,DistilBert,32,40,13.299583069,0.014600776135921478,329877057,107734790,210037155,11819937
3,DistilBert,32,41,13.624696572,0.013300998136401176,324760597,106602791,206211067,11690895
3,DistilBert,32,42,13.961272696,0.011983681470155716,336193267,107323553,216834634,11786857
3,DistilBert,32,43,14.290279998,0.01121510285884142,328608685,106818414,209776990,11752917
3,DistilBert,32,44,14.616367678,0.010407855734229088,325658223,107485115,206186927,11719635
3,DistilBert,32,45,14.944219819,0.009708958677947521,327434604,105797236,209642237,11751286
3,DistilBert,32,46,15.27665449,0.00910312868654728,332027464,107138120,212698630,11901069
