run_num,model,batch_size,timestamp_ns,time_since_start_s,step,state,process_cpu_percent,process_memory_rss_bytes,gpu_util_pct,gpu_mem_used_mb
2,DistilBert,32,11426754613083506,31.081241244,95,forward,99.8,1394954240,99,13649.25
2,DistilBert,32,11426755114284839,31.582442577,96,backward,99.8,1394954240,99,13649.25
2,DistilBert,32,11426755615303459,32.083461197,98,backward,99.7,1394954240,99,13649.25
2,DistilBert,32,11426756116617884,32.584775622,99,backward,101.7,1394954240,99,13649.25
2,DistilBert,32,11426756617874058,33.086031796,101,backward,99.7,1394954240,99,13649.25
2,DistilBert,32,11426757119458918,33.587616656,102,backward,101.7,1394954240,99,13649.25
2,DistilBert,32,11426757620950076,34.089107814,104,backward,99.7,1394958336,99,13649.25
2,DistilBert,32,11426758122267931,34.590425669,105,backward,99.7,1394958336,99,13649.25
2,DistilBert,32,11426758623756949,35.091914687,107,backward,99.8,1394958336,99,13649.25
2,DistilBert,32,11426759124967372,35.59312511,108,backward,99.8,1394958336,99,13649.25
2,DistilBert,32,11426759626015492,36.09417323,110,backward,101.8,1394958336,99,13649.25
2,DistilBert,32,11426760127094613,36.595252351,111,optimizer,101.8,1394970624,99,13649.25
2,DistilBert,32,11426760628440439,37.096598177,113,backward,99.8,1394970624,99,13649.25
2,DistilBert,32,11426761129488959,37.597646697,115,forward,99.8,1394970624,100,13649.25
2,DistilBert,32,11426761630529879,38.098687617,116,backward,99.7,1394970624,99,13649.25
2,DistilBert,32,11426762131954076,38.600111814,118,forward,99.8,1394970624,100,13649.25
2,DistilBert,32,11426762633078978,39.101236716,119,backward,99.8,1394970624,99,13649.25
2,DistilBert,32,11426763134150369,39.602308107,121,forward,99.8,1394987008,100,13649.25
2,DistilBert,32,11426763635291491,40.103449229,122,backward,101.7,1394987008,99,13649.25
2,DistilBert,32,11426764136869860,40.605027598,124,forward,101.7,1394987008,100,13649.25
2,DistilBert,32,11426764638273807,41.106431545,125,backward,99.7,1394987008,99,13649.25
2,DistilBert,32,11426765139631082,41.60778882,127,forward,99.7,1394995200,100,13649.25
2,DistilBert,32,11426765641199342,42.10935708,128,backward,99.6,1394995200,99,13649.25
2,DistilBert,32,11426766142987765,42.611145503,130,forward,99.8,1394995200,100,13649.25
2,DistilBert,32,11426766644070226,43.112227964,131,backward,101.8,1394995200,99,13649.25
2,DistilBert,32,11426767145269709,43.613427447,133,forward,99.8,1394999296,100,13649.25
2,DistilBert,32,11426767646270919,44.114428657,134,backward,101.8,1394999296,99,13649.25
2,DistilBert,32,11426768147382480,44.615540218,136,forward,99.8,1394999296,100,13649.25
2,DistilBert,32,11426768648446131,45.116603869,137,backward,99.8,1394999296,99,13649.25
2,DistilBert,32,11426769149508111,45.617665849,139,forward,99.8,1394999296,100,13649.25
2,DistilBert,32,11426769650543941,46.118701679,140,backward,99.8,1394999296,99,13649.25
2,DistilBert,32,11426770151556031,46.619713769,142,forward,99.8,1395003392,100,13649.25
2,DistilBert,32,11426770652662822,47.12082056,143,backward,99.7,1395003392,99,13649.25
2,DistilBert,32,11426771154218771,47.622376509,145,forward,101.7,1395003392,100,13649.25
2,DistilBert,32,11426771655554887,48.123712625,146,backward,101.7,1395003392,100,13649.25
2,DistilBert,32,11426772156904142,48.62506188,148,forward,99.7,1395003392,100,13649.25
2,DistilBert,32,11426772658274838,49.126432576,149,backward,99.7,1395003392,100,13649.25
