run_num,model,batch_size,timestamp_ns,time_since_start_s,step,state,process_cpu_percent,process_memory_rss_bytes,gpu_util_pct,gpu_mem_used_mb
1,DistilBert,32,11425784665914628,0.501266825,2,forward,101.3,1382633472,96,11739.25
1,DistilBert,32,11425785167925327,1.003277524,3,backward,99.8,1383051264,99,13649.25
1,DistilBert,32,11425785669074050,1.504426247,5,forward,101.8,1383477248,100,13649.25
1,DistilBert,32,11425786170162483,2.00551468,6,backward,99.8,1383497728,99,13649.25
1,DistilBert,32,11425786671359598,2.506711795,8,forward,99.8,1383628800,100,13649.25
1,DistilBert,32,11425787172378569,3.007730766,9,backward,99.8,1383641088,99,13649.25
1,DistilBert,32,11425787673483602,3.508835799,11,forward,99.8,1383653376,100,13649.25
1,DistilBert,32,11425788174602745,4.009954942,12,backward,99.8,1383653376,99,13649.25
1,DistilBert,32,11425788675664507,4.511016704,14,backward,101.8,1383727104,100,13649.25
1,DistilBert,32,11425789176924513,5.01227671,15,backward,99.8,1383727104,100,13649.25
1,DistilBert,32,11425789677981125,5.513333322,17,backward,101.7,1383727104,100,13649.25
1,DistilBert,32,11425790179388863,6.01474106,18,backward,99.7,1383727104,100,13649.25
1,DistilBert,32,11425790680918324,6.516270521,20,backward,99.7,1383727104,100,13649.25
1,DistilBert,32,11425791182511475,7.017863672,21,optimizer,99.7,1383727104,100,13649.25
1,DistilBert,32,11425791684093736,7.519445933,23,backward,99.7,1383731200,100,13649.25
1,DistilBert,32,11425792185612226,8.020964423,25,forward,101.8,1383731200,100,13649.25
1,DistilBert,32,11425792686696709,8.522048906,26,backward,99.8,1383731200,100,13649.25
1,DistilBert,32,11425793187783691,9.023135888,28,forward,101.8,1383743488,100,13649.25
1,DistilBert,32,11425793688940115,9.524292312,29,backward,99.8,1383747584,100,13649.25
1,DistilBert,32,11425794190025738,10.025377935,31,forward,99.8,1383747584,100,13649.25
1,DistilBert,32,11425794691237442,10.526589639,32,backward,101.6,1383747584,100,13649.25
1,DistilBert,32,11425795193160699,11.028512896,34,forward,99.7,1383747584,100,13649.25
1,DistilBert,32,11425795694511706,11.529863903,35,backward,97.8,1383755776,99,13649.25
1,DistilBert,32,11425796195794833,12.03114703,37,forward,103.7,1383755776,100,13649.25
1,DistilBert,32,11425796697295382,12.532647579,38,backward,99.0,1383755776,100,13649.25
1,DistilBert,32,11425797202235772,13.037587969,40,forward,99.7,1383755776,100,13649.25
1,DistilBert,32,11425797703855293,13.53920749,41,backward,99.8,1383755776,100,13649.25
1,DistilBert,32,11425798205134809,14.040487006,43,forward,99.7,1383772160,100,13649.25
1,DistilBert,32,11425798706452606,14.541804803,44,backward,103.7,1383776256,100,13649.25
1,DistilBert,32,11425799207497448,15.042849645,46,forward,99.8,1383776256,100,13649.25
1,DistilBert,32,11425799708600331,15.543952528,47,backward,99.8,1383776256,100,13649.25
1,DistilBert,32,11425800209669333,16.04502153,49,backward,99.8,1383784448,99,13649.25
1,DistilBert,32,11425800710703845,16.546056042,50,backward,99.8,1383784448,100,13649.25
1,DistilBert,32,11425801211791187,17.047143384,52,backward,99.8,1383784448,99,13649.25
