task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,ram_total_size,tracking_mode,on_cloud
Steps #1-2,2026-04-06T19:16:31,distilbert,315689c2-8760-4772-a8c7-5cc6308a229c,0.7945130914449692,4.866753602206034e-07,6.129507832629328e-07,360.0,190.70101723430162,10.0,7.935973051935434e-05,4.204086696546483e-05,2.2040449548512696e-06,0.00012360464243967045,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,4,machine,N
Steps #3-4,2026-04-06T19:16:32,distilbert,315689c2-8760-4772-a8c7-5cc6308a229c,0.6603885088115931,4.1354547517856317e-07,6.26979475030096e-07,360.0,203.52591532813415,10.0,6.592711303383111e-05,3.727308537548879e-05,1.8310909676882957e-06,0.0001050312893770082,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,4,machine,N
Steps #5-6,2026-04-06T19:16:32,distilbert,315689c2-8760-4772-a8c7-5cc6308a229c,0.6570675298571587,4.183317198081326e-07,6.370856430187245e-07,360.0,212.7671528178056,10.0,6.563277374953033e-05,3.879114213845014e-05,1.8229724373668432e-06,0.00010624688832534731,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,4,machine,N
Steps #7-8,2026-04-06T19:16:33,distilbert,315689c2-8760-4772-a8c7-5cc6308a229c,0.6575537901371717,4.3948407955772094e-07,6.68870096056173e-07,360.0,241.81555582386392,10.0,6.567763630300761e-05,4.4117257516518293e-05,1.8242201767861852e-06,0.0001116191139963121,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,4,machine,N
Steps #9-10,2026-04-06T19:16:33,distilbert,315689c2-8760-4772-a8c7-5cc6308a229c,0.6580943409353495,4.142747065667664e-07,6.301954686656269e-07,360.0,206.44728573052168,10.0,6.570887789130212e-05,3.7682530148686055e-05,1.8250897785441743e-06,0.00010521649781853237,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,4,machine,N
Steps #11-12,2026-04-06T19:16:34,distilbert,315689c2-8760-4772-a8c7-5cc6308a229c,0.6552098765969276,4.4264219854337437e-07,6.761576949189309e-07,360.0,248.52809303630067,10.0,6.543145030736921e-05,4.517253613300909e-05,1.8172190524637694e-06,0.00011242120549284206,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,4,machine,N
Steps #13-14,2026-04-06T19:16:35,distilbert,315689c2-8760-4772-a8c7-5cc6308a229c,0.660669943317771,4.1349950399684294e-07,6.263221910312947e-07,360.0,202.99935419188927,10.0,6.598055679351092e-05,3.7206418660673535e-05,1.832638272187777e-06,0.00010501961372637227,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,4,machine,N
Steps #15-16,2026-04-06T19:16:35,distilbert,315689c2-8760-4772-a8c7-5cc6308a229c,0.6592553090304136,4.406686668545342e-07,6.689676240480453e-07,360.0,241.97108093251126,10.0,6.583792828023438e-05,4.4253368741919985e-05,1.8286756188091302e-06,0.00011191997264096347,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,4,machine,N
Steps #17-18,2026-04-06T19:16:36,distilbert,315689c2-8760-4772-a8c7-5cc6308a229c,0.6706566549837589,4.4289738592978867e-07,6.608594844925982e-07,360.0,234.87863924200488,10.0,6.694678142666818e-05,4.367975715524608e-05,1.8594787921756508e-06,0.00011248601737408987,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,4,machine,N
Steps #19-20,2026-04-06T19:16:37,distilbert,315689c2-8760-4772-a8c7-5cc6308a229c,0.6595720835030079,4.1396207543038797e-07,6.280110989419702e-07,360.0,204.44543438358832,10.0,6.588810514658692e-05,3.7418918829246195e-05,1.8300725354088667e-06,0.00010513709651124186,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,4,machine,N
Steps #21-22,2026-04-06T19:16:37,distilbert,315689c2-8760-4772-a8c7-5cc6308a229c,0.6614710353314877,4.4274923899916695e-07,6.702453975541698e-07,360.0,243.10170352413058,10.0,6.60266855731607e-05,4.458781344851559e-05,1.83389234977464e-06,0.00011244839137145089,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,4,machine,N
Steps #23-24,2026-04-06T19:16:38,distilbert,315689c2-8760-4772-a8c7-5cc6308a229c,0.6608010567724705,4.411896662066037e-07,6.68321286462272e-07,360.0,241.37411456437482,10.0,6.597997173666951e-05,4.4239757613695474e-05,1.8325654582844835e-06,0.00011205229480864957,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,4,machine,N
