batch_size,num_runs,mean_duration_s,std_duration_s,mean_emissions_g,std_emissions_g,mean_energy_consumed_wh,std_energy_consumed_wh,mean_gpu_energy_wh,std_gpu_energy_wh,mean_cpu_energy_wh,std_cpu_energy_wh,mean_ram_energy_wh,std_ram_energy_wh,mean_gpu_power_w,std_gpu_power_w,mean_cpu_power_w,std_cpu_power_w,mean_ram_power_w,std_ram_power_w
16,3,284.95800928336877,0.3600694517581678,0.18666269714532477,0.00024379936941046316,47.408144778511,0.06191957996258094,18.12521718534299,0.030257154428535455,28.49150326816986,0.03609279575143038,0.7914243249981494,0.001003428674148656,225.35896133807984,10.301536414412844,360.0,0.0,10.0,0.0
32,3,281.26551682998735,0.43580373559138325,0.18488391663848802,0.0003419346267595104,46.95637436542383,0.08684373759787553,18.05195018228763,0.04331386841643541,28.12322905653467,0.04340922264671,0.7811951266015295,0.0012057857599649681,230.04977531876818,1.0506532313863688,360.0,0.0,10.0,0.0
64,3,277.41607182535034,0.43402917817842074,0.1829145915123857,0.0003477489762805997,46.45620988627494,0.08832045216433992,17.950378341775302,0.06262806668812655,27.73540944928924,0.042634431979620295,0.770422095210395,0.001184424657022908,233.72701243080704,1.4402805507522871,360.0,0.0,10.0,0.0
