step,mean_forward_time_ms,std_forward_time_ms,mean_backward_time_ms,std_backward_time_ms,mean_optimizer_time_ms,std_optimizer_time_ms
1,143.39140366666666,4.894280593130136,120.68485633333334,1.043183529090321,32.789500333333336,0.12359713781610492
2,49.87161866666667,0.7665692024320656,101.96732266666667,1.0637068646132397,11.856990666666666,0.03554978281696428
3,50.651352333333335,0.561978667392573,103.54978333333334,0.4474350115964651,11.901391333333331,0.08397400446169802
4,50.870805999999995,0.6129416150637823,103.76796733333333,1.0946407081788727,11.843420666666665,0.09633871834487598
5,50.579803999999996,0.7931883537048425,102.13881533333334,1.385594443295123,11.769912666666665,0.10107403568341991
6,50.539516666666664,0.6821917214862221,102.80597666666667,1.6307546614991912,11.842590666666666,0.12235567982048658
7,50.973921,0.9893406020471411,104.26938633333333,1.2893907070183699,11.879421333333333,0.06397347556865522
8,50.824312,0.5146580826879144,103.90661633333333,0.4979049214220856,11.788513333333333,0.08312045500557162
9,50.76019333333334,1.0556436686923933,102.97694033333335,2.5903750957813654,11.817416666666666,0.021301848401802048
10,50.604314666666674,0.6521469807032267,102.60962733333334,1.7690133759972937,11.802329666666665,0.010544906084614567
11,50.83890233333333,0.6631243582808063,104.13368400000002,1.2701737417798402,12.055053999999998,0.34569277713599983
12,50.793114333333335,0.6169687713833932,103.02142066666666,1.2487956230225672,11.971232666666667,0.20607763845777474
13,50.692139,0.9291097961123879,103.10053599999999,1.8780524798261047,11.825863333333333,0.04259466991694269
14,50.845929000000005,0.6986078103220722,104.420749,1.119305177550341,11.830310333333335,0.05366177923190161
15,51.06890933333333,0.8118763678204568,104.364481,0.8763354378495719,11.787419666666667,0.03220608101482281
16,50.705062999999996,0.8934079662035717,102.618981,1.1820569406098833,11.852897333333333,0.05456962303638694
17,50.87020933333334,0.8452435059444908,103.85947933333334,1.590722593791997,11.802702333333334,0.03384464308178398
18,51.025332,0.6419821549794051,104.22565533333334,0.5177421324987327,11.836553333333333,0.037278104368829675
19,50.44603533333333,0.6954199494192922,103.49189566666666,1.525731155002196,11.827929666666668,0.03717888822078139
20,50.730127,1.147289629412293,103.64804166666666,2.4912915706549357,11.902994999999999,0.09828058272619218
21,50.877416000000004,0.6663295807533968,103.87685933333334,1.0155689450969554,11.881903666666668,0.0049654210630452125
22,51.06903633333334,1.0905476179719673,103.68253233333333,2.252574092693584,11.809999333333332,0.050613973933424095
23,50.333526666666664,0.7407012745988327,102.53110233333332,1.7158130007111299,11.783953333333335,0.024324863521371493
24,50.582068,0.9329929733433138,103.37088333333334,1.908456488907288,11.814986666666664,0.06712700835232699
25,50.49549266666666,0.38848599030123515,103.07565133333333,0.28182158422897763,11.820279666666666,0.033227729223245274
26,50.693109666666665,0.5727497893935318,103.053871,1.5054088323937138,11.937472333333332,0.23481247670073535
27,50.338253333333334,0.8044211520505499,102.07118766666667,1.2515026720104614,11.799799666666665,0.04724740078917847
28,50.446122,1.1001195779364148,103.18052,1.8130977324024806,11.823999999999998,0.024547722562388904
29,50.518023666666664,0.7839397135381875,103.81091133333332,1.679726543340117,11.800049666666666,0.06351047553225622
30,50.410107333333336,0.38751329072734075,103.21089433333333,0.7495916886474456,11.761902333333333,0.03329380276167506
