task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,ram_total_size,tracking_mode,on_cloud
Steps #1-3,2026-04-06T19:02:13,distilbert,83ea3a15-c848-4b06-b3cd-3aaf54f6d5bd,0.6470028180629015,3.730333604118595e-07,5.769332926394524e-07,360.0,158.1278865276997,10.0,6.458065062761306e-05,2.8367800460671333e-05,1.7936684036006532e-06,9.474211949188505e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,4,machine,N
Steps #4-6,2026-04-06T19:02:13,distilbert,83ea3a15-c848-4b06-b3cd-3aaf54f6d5bd,0.5048182681202888,3.2599874388617897e-07,6.464634010321708e-07,360.0,221.39739308049667,10.0,5.0399619527161115e-05,3.0996969250907114e-05,1.399791452826725e-06,8.279638023089496e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,4,machine,N
Steps #7-9,2026-04-06T19:02:14,distilbert,83ea3a15-c848-4b06-b3cd-3aaf54f6d5bd,0.5104414150118828,3.526130939012928e-07,6.917803620478457e-07,360.0,267.59340367941604,10.0,5.05647324025631e-05,3.758669672748738e-05,1.4043999784108662e-06,8.955582910846136e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,4,machine,N
Steps #10-12,2026-04-06T19:02:14,distilbert,83ea3a15-c848-4b06-b3cd-3aaf54f6d5bd,0.5046471152454615,3.265485791486635e-07,6.480536995404234e-07,360.0,221.89127651788817,10.0,5.044284816831351e-05,3.10922470987407e-05,1.4009308069944376e-06,8.293602607404866e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,4,machine,N
Steps #13-15,2026-04-06T19:02:15,distilbert,83ea3a15-c848-4b06-b3cd-3aaf54f6d5bd,0.5097272023558617,3.253095085271631e-07,6.38885144402795e-07,360.0,215.79232779396858,10.0,5.07746659219265e-05,3.043641324040891e-05,1.4102507227410874e-06,8.262132988507651e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,4,machine,N
Steps #16-18,2026-04-06T19:02:16,distilbert,83ea3a15-c848-4b06-b3cd-3aaf54f6d5bd,0.5095025710761547,3.283016157295945e-07,6.449460475653907e-07,360.0,219.5020244535016,10.0,5.0919193401932725e-05,3.104780261509177e-05,1.4142620894644004e-06,8.338125810648892e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,4,machine,N
Steps #19-21,2026-04-06T19:02:16,distilbert,83ea3a15-c848-4b06-b3cd-3aaf54f6d5bd,0.5079331919550896,3.259524827208849e-07,6.428114882277002e-07,360.0,218.92294247515292,10.0,5.060423891991374e-05,3.077502462645043e-05,1.4053673845612334e-06,8.278463093092548e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,4,machine,N
Steps #22-24,2026-04-06T19:02:17,distilbert,83ea3a15-c848-4b06-b3cd-3aaf54f6d5bd,0.5053866691887379,3.2464155950361224e-07,6.429678244806118e-07,360.0,218.02854373809987,10.0,5.047771967947481e-05,3.057196889955094e-05,1.4019972127344876e-06,8.245168579176028e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,4,machine,N
Steps #25-27,2026-04-06T19:02:17,distilbert,83ea3a15-c848-4b06-b3cd-3aaf54f6d5bd,0.5087491404265165,3.265011638215926e-07,6.423252271835564e-07,360.0,221.11083555804527,10.0,5.050211008638143e-05,3.101919147496801e-05,1.4026820814857876e-06,8.29239836428352e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,4,machine,N
Steps #28-30,2026-04-06T19:02:18,distilbert,83ea3a15-c848-4b06-b3cd-3aaf54f6d5bd,0.5038752742111683,3.2737331907274946e-07,6.503889246654875e-07,360.0,224.16372182184938,10.0,5.037683602422476e-05,3.136946954640507e-05,1.3991859741508958e-06,8.314549154478075e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,4,machine,N
Steps #31-33,2026-04-06T19:02:18,distilbert,83ea3a15-c848-4b06-b3cd-3aaf54f6d5bd,0.5053997673094273,3.257163671631592e-07,6.450546877859741e-07,360.0,220.28268438075133,10.0,5.045143719762562e-05,3.087196913753587e-05,1.4012565318908961e-06,8.272466286705243e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,4,machine,N
