task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,ram_total_size,tracking_mode,on_cloud
Steps #1-3,2026-04-06T22:40:07,distilbert,14b27c4f-c4f1-4dba-9d5f-29f57f47e6d5,0.6378381587564945,3.846013879272801e-07,6.032068354198405e-07,360.0,181.7190417799447,10.0,6.373594235628842e-05,3.2174192398315427e-05,1.7700046611328921e-06,9.768013941573674e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,4,machine,N
Steps #4-6,2026-04-06T22:40:07,distilbert,14b27c4f-c4f1-4dba-9d5f-29f57f47e6d5,0.49385604821145535,3.240419654305695e-07,6.568585363720718e-07,360.0,226.63361776306527,10.0,4.965722039341927e-05,3.1263080565224755e-05,1.3791013664255542e-06,8.229940232506956e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,4,machine,N
Steps #7-9,2026-04-06T22:40:08,distilbert,14b27c4f-c4f1-4dba-9d5f-29f57f47e6d5,0.49725955724716187,3.243791230220649e-07,6.528697338481223e-07,360.0,220.8917567872664,10.0,5.0192368030548104e-05,3.079863574839692e-05,1.394029023746649e-06,8.238503280269167e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,4,machine,N
Steps #10-12,2026-04-06T22:40:08,distilbert,14b27c4f-c4f1-4dba-9d5f-29f57f47e6d5,0.49792652763426304,3.2235647596888124e-07,6.479819657352e-07,360.0,222.56001832746514,10.0,4.973901771008967e-05,3.075085793824428e-05,1.3814500998705624e-06,8.187132574820452e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,4,machine,N
Steps #13-15,2026-04-06T22:40:09,distilbert,14b27c4f-c4f1-4dba-9d5f-29f57f47e6d5,0.4983587060123682,3.225054309381888e-07,6.476478155475994e-07,360.0,222.35082183612823,10.0,4.977962356060746e-05,3.074696903837548e-05,1.382564375590947e-06,8.190915697457382e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,4,machine,N
Steps #16-18,2026-04-06T22:40:09,distilbert,14b27c4f-c4f1-4dba-9d5f-29f57f47e6d5,0.5005993023514748,3.228073673828039e-07,6.454316285509032e-07,360.0,220.21621697940688,10.0,5.00063834711909e-05,3.0590580031741865e-05,1.3888785667303532e-06,8.198584206966315e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,4,machine,N
Steps #19-21,2026-04-06T22:40:10,distilbert,14b27c4f-c4f1-4dba-9d5f-29f57f47e6d5,0.4971735868602991,3.211727860766376e-07,6.466477361909697e-07,360.0,222.23419818249124,10.0,4.95835894718766e-05,3.061002448845329e-05,1.377081063886483e-06,8.157069502421645e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,4,machine,N
Steps #22-24,2026-04-06T22:40:10,distilbert,14b27c4f-c4f1-4dba-9d5f-29f57f47e6d5,0.4975991938263178,3.2136586044149246e-07,6.466187012035844e-07,360.0,222.27332120345696,10.0,4.961017686873673e-05,3.0631691174676234e-05,1.3778635455916324e-06,8.161973158900455e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,4,machine,N
Steps #25-27,2026-04-06T22:40:11,distilbert,14b27c4f-c4f1-4dba-9d5f-29f57f47e6d5,0.49670962803065777,3.2128917966801934e-07,6.474479575731576e-07,360.0,222.856542254755,10.0,4.9549605697393414e-05,3.067446898086246e-05,1.376181711546248e-06,8.160025638980211e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,4,machine,N
Steps #28-30,2026-04-06T22:40:11,distilbert,14b27c4f-c4f1-4dba-9d5f-29f57f47e6d5,0.4971823152154684,3.216995490681461e-07,6.47764558353929e-07,360.0,225.5480212614068,10.0,4.938843194395308e-05,3.094446920215432e-05,1.3715798811366161e-06,8.170448102724401e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,4,machine,N
