run_num,model,batch_size,step,step_end_time_s,loss,step_time_ns,forward_time_ns,backward_time_ns,optimizer_time_ns
2,DistilBert,16,1,0.3045248,10.491399765014648,303907429,148985213,121852147,32921548
2,DistilBert,16,2,0.47101917,9.752298355102539,166000801,50737400,103081058,11882909
2,DistilBert,16,3,0.638045999,8.201058387756348,166596521,51289440,103042747,11990950
2,DistilBert,16,4,0.807081552,8.467514038085938,168553875,51577475,104975541,11740516
2,DistilBert,16,5,0.974712842,8.371417999267578,167220052,51490303,103737299,11754676
2,DistilBert,16,6,1.143137706,7.698589324951172,168066208,51318600,104605464,11891349
2,DistilBert,16,7,1.313495193,7.616616249084473,169991821,52110363,105730305,11896239
2,DistilBert,16,8,1.481825845,7.027772903442383,167926505,51405572,104454942,11827098
2,DistilBert,16,9,1.652224463,6.112880706787109,170017081,51978501,105966028,11835368
2,DistilBert,16,10,1.820145977,5.107879638671875,167546108,51352711,104139436,11808517
2,DistilBert,16,11,1.99022979,4.567208290100098,169729967,51581765,105543091,12199644
2,DistilBert,16,12,2.157633736,4.020414352416992,166931597,51487693,103246861,11871019
2,DistilBert,16,13,2.327058297,4.3861083984375,169057085,51764887,105202485,11852608
2,DistilBert,16,14,2.496917585,3.490540027618408,169471862,51648955,105709014,11872368
2,DistilBert,16,15,2.666626821,2.4091317653656006,169343439,51982342,105281256,11821558
2,DistilBert,16,16,2.834566246,2.5561673641204834,167582188,51736637,103693079,11894079
2,DistilBert,16,17,3.004449185,2.1278340816497803,169488872,51830260,105600012,11818537
2,DistilBert,16,18,3.173479009,4.1232476234436035,168623447,51753928,104762687,11872018
2,DistilBert,16,19,3.342002485,9.07432746887207,168151879,51232879,104823718,11847507
2,DistilBert,16,20,3.513041084,7.044205665588379,170660743,52050003,106353734,11973991
2,DistilBert,16,21,3.68221247,4.0356669425964355,168758039,51593695,105045522,11877428
2,DistilBert,16,22,3.852963695,5.742812633514404,170392188,52275577,106019179,11858698
2,DistilBert,16,23,4.021062953,8.736014366149902,167723901,51179127,104504483,11804308
2,DistilBert,16,24,4.190593825,8.724814414978027,169159136,51648956,105393368,11876588
2,DistilBert,16,25,4.356996324,11.50373649597168,166035872,50932973,103036686,11818657
2,DistilBert,16,26,4.525764823,8.974258422851562,168382483,51343960,104586234,12207955
2,DistilBert,16,27,4.692967775,9.27296257019043,166816525,51261269,103497205,11818817
2,DistilBert,16,28,4.862301174,9.026460647583008,168927992,51709897,105132613,11843037
2,DistilBert,16,29,5.031807647,9.009276390075684,169139396,51416012,105726844,11739836
2,DistilBert,16,30,5.19904748,8.967741966247559,166883517,50850621,104045435,11748526
2,DistilBert,16,31,5.36731151,8.95564079284668,167892114,51368041,104430861,11836968
2,DistilBert,16,32,5.534006434,8.947639465332031,166341568,51017344,103278782,11807477
2,DistilBert,16,33,5.703903543,8.945490837097168,169526593,51775568,105652263,11862758
2,DistilBert,16,34,5.872700142,8.939536094665527,168413673,51255499,105134574,11782896
2,DistilBert,16,35,6.040309152,8.937981605529785,167247103,50795291,104348060,11868677
2,DistilBert,16,36,6.210395164,8.933067321777344,169699636,51688756,105976898,11795577
2,DistilBert,16,37,6.376744571,8.924378395080566,165988920,50888282,102983756,11857408
